,id,stationName,x,y,geometry
984,SN1604500,,13.059,45.9806,POINT (13.059 45.9806)
985,SN256500,Målilla,15.8011111111111,57.3844444444444,POINT (15.8011111111111 57.3844444444444)
986,SN16611,E6 Fokstugu,9.28497,62.11196,POINT (9.28497 62.11196)
987,SN18235,Furuset ,10.8972,59.942,POINT (10.8972 59.942)
988,SN37390,Rv41 Vrådal,8.505329,59.342855,POINT (8.505329 59.342855)
989,SN1960,E18 Ørje vest,11.61067,59.51,POINT (11.61067 59.51)
990,SN39570,Fv42 Undeland,7.91,58.57733,POINT (7.91 58.57733)
991,SN58070,Sandane,6.1835,61.7873,POINT (6.1835 61.7873)
993,SN51440,Evanger,6.1105,60.647,POINT (6.1105 60.647)
994,SN50040,Fv79 Ålvik aust,6.4865,60.44367,POINT (6.4865 60.44367)
995,SN1555200,,27.95,43.2,POINT (27.95 43.2)
996,SN202400,Stora Sjöfallet,18.2944444444444,67.4963888888889,POINT (18.2944444444444 67.4963888888889)
997,SN84770,E6 Hålogalandsbrua,17.482,68.4683,POINT (17.482 68.4683)
999,SN57810,Svelgen,5.2983,61.7707,POINT (5.2983 61.7707)
1000,SN65310,Veiholmen,7.9482,63.5176,POINT (7.9482 63.5176)
1001,SN94020,Bjørnfjellet,23.5394,70.0418,POINT (23.5394 70.0418)
1002,SN25000,Golsfjellet,8.85129,60.838527,POINT (8.85129 60.838527)
1003,SN87740,Rv83 Blomjoten,16.52117,68.70617,POINT (16.52117 68.70617)
1004,SN52310,Modalen,5.9758,60.859,POINT (5.9758 60.859)
1005,SN223600,Hallhåxåsen,15.3311111111111,63.7694444444444,POINT (15.3311111111111 63.7694444444444)
1006,SN243500,Borlänge,15.5008333333333,60.4291666666667,POINT (15.5008333333333 60.4291666666667)
1007,SN40880,Hovden,7.3896454,59.5765946,POINT (7.3896454 59.5765946)
1008,SN4140,Lillestrøm - Rådhuset,11.04008,59.95455,POINT (11.04008 59.95455)
